transaction_name,amount,category,category_encoded
GOPAY GO-RIDE - <ID>,94350.0,Transport,4
TIKET BIOSKOP XXI - <ID>,116250.0,Hiburan,1
M4K4N D1 R3ST0R4N - <ID>,44000.0,Makanan & Minuman,2
TIKET KERETA KAI - <ID>,31000.0,Transport,4
PEMBAYARAN PLN*REK - <ID>,201000.0,Tagihan,3
MCDONALDS MEAL PAYMENT - <ID>,139000.0,Makanan & Minuman,2
MCDONALDS MEAL PAYMENT - <ID>,94900.0,Makanan & Minuman,2
MAKAN DI RESTORAN - <ID>,104750.0,Makanan & Minuman,2
TIKET PESAWAT - <ID>,1855000.0,Transport,4
GRABFOOD MEMO - <ID>,28900.0,Makanan & Minuman,2
INTERNET WIFI BROADBAND - <ID>,299000.0,Tagihan,3
BELANJA FASHION*MEMO - <ID>,740000.0,Belanja,0
MCDONALDS MEAL PAYMENT - <ID>,26640.0,Makanan & Minuman,2
GO-FOOD TRANSAKSI - <ID>,53000.0,Makanan & Minuman,2
TOKOPEDIA*MEMO - <ID>,765900.0,Belanja,0
BELANJA ELEKTRONIK*MEMO - <ID>,64500.0,Belanja,0
DRV TIKET KERETA KAI - <ID>,38000.0,Transport,4
PEMBAYARAN PLN*REK - <ID>,506250.0,Tagihan,3
M13 G4C04N R3ST - <ID>,73260.0,Makanan & Minuman,2
GR4BF00D M3M0 - <ID>,58900.0,Makanan & Minuman,2
MCDONALDS MEAL PAYMENT - <ID>,64000.0,Makanan & Minuman,2
PEMBAYARAN PLN*REK - <ID>,107000.0,Tagihan,3
DISNEY HOTSTAR*MEMO - <ID>,244200.0,Hiburan,1
BELANJA ELEKTRONIK*MEMO - <ID>,569430.0,Belanja,0
PEMBAYARAN PLN*REK - <ID>,133500.0,Tagihan,3
CINEMA XXI MOVIE TICKET - <ID>,127500.0,Hiburan,1
ISI BENSIN PERTAMINA - <ID>,63000.0,Transport,4
P3MB4Y4R4N PLN*R3K - <ID>,103250.0,Tagihan,3
TOKOPEDIA*MEMO - <ID>,366000.0,Belanja,0
AMUSEMENT PARK ENTRANCE - <ID>,217750.0,Hiburan,1
INTERNET WIFI BROADBAND - <ID>,691500.0,Tagihan,3
ISI PULSA/DATA*MEMO - <ID>,819180.0,Tagihan,3
AMUSEMENT PARK ENTRANCE - <ID>,38000.0,Hiburan,1
T1K3T BUS D4MR1 - <ID>,37740.0,Transport,4
TIKET BUS DAMRI - <ID>,74000.0,Transport,4
MCDONALDS MEAL PAYMENT - <ID>,80000.0,Makanan & Minuman,2
DISNEY HOTSTAR*MEMO - <ID>,82100.0,Hiburan,1
SH0P33P4Y*PR0M0 - <ID>,630500.0,Belanja,0
ASURANSI*AUTO-DEBET - <ID>,293000.0,Tagihan,3
BELANJA ELEKTRONIK*MEMO - <ID>,993000.0,Belanja,0
BELANJA FASHION*MEMO - <ID>,824750.0,Belanja,0
DRV GROCERY INDOMARET - <ID>,26640.0,Makanan & Minuman,2
GROCERY INDOMARET - <ID>,139860.0,Makanan & Minuman,2
BELANJA ELEKTRONIK*MEMO - <ID>,935250.0,Belanja,0
PEMBAYARAN PLN*REK - <ID>,126750.0,Tagihan,3
CINEMA XXI MOVIE TICKET - <ID>,189500.0,Hiburan,1
INTERNET WIFI BROADBAND - <ID>,266400.0,Tagihan,3
CINEMA XXI MOVIE TICKET - <ID>,113000.0,Hiburan,1
TIKET PESAWAT - <ID>,1731000.0,Transport,4
MIE GACOAN REST - <ID>,122900.0,Makanan & Minuman,2
M4K4N D1 R3ST0R4N - <ID>,126750.0,Makanan & Minuman,2
MAKAN DI RESTORAN - <ID>,103100.0,Makanan & Minuman,2
GROCERY INDOMARET - <ID>,132100.0,Makanan & Minuman,2
SHOPEEPAY*PROMO - <ID>,629750.0,Belanja,0
B3L4NJ4 F4SH10N*M3M0 - <ID>,1086690.0,Belanja,0
N3TFL1X*SUBSCR1PT10N - <ID>,179500.0,Hiburan,1
BELANJA FASHION*MEMO - <ID>,855750.0,Belanja,0
CINEMA XXI MOVIE TICKET - <ID>,134000.0,Hiburan,1
GROCERY INDOMARET - <ID>,21000.0,Makanan & Minuman,2
ISI PULSA/DATA*MEMO - <ID>,591630.0,Tagihan,3
DRV TIKET BIOSKOP XXI - <ID>,71040.0,Hiburan,1
DBT BOOKING HOTEL TRAVELOKA - <ID>,76590.0,Transport,4
PEMBAYARAN PLN*REK - <ID>,583000.0,Tagihan,3
SPOTIFY*PREMIUM - <ID>,161000.0,Hiburan,1
BOOKING HOTEL TRAVELOKA - <ID>,63500.0,Transport,4
T0K0P3D14*M3M0 - <ID>,474500.0,Belanja,0
BELANJA FASHION*MEMO - <ID>,216500.0,Belanja,0
B3L4NJ4 F4SH10N*M3M0 - <ID>,813250.0,Belanja,0
DBT TIKET BUS DAMRI - <ID>,20000.0,Transport,4
MIE GACOAN REST - <ID>,160950.0,Makanan & Minuman,2
DBT BELANJA ELEKTRONIK*MEMO - <ID>,122000.0,Belanja,0
DRV DISNEY HOTSTAR*MEMO - <ID>,147100.0,Hiburan,1
DBT BELANJA FASHION*MEMO - <ID>,104000.0,Belanja,0
GRAB RIDE OVO - <ID>,17760.0,Transport,4
